value,unit,rawValue
212.7018036439,degrees,5.90838343455306
251.2540055544,degrees,6.9792779320658
256.2639240699,degrees,7.11844233527635
245.9254737999,degrees,6.83126316110721
247.5075533311,degrees,6.87520981475265
266.8880275887,degrees,7.41355632190924
291.146580401,degrees,8.08740501113926
254.6708578753,degrees,7.07419049653615
253.3524582659,degrees,7.03756828516495
291.6190069277,degrees,8.10052797021394
283.829462569,degrees,7.88415173802912
259.5489364299,degrees,7.20969267860958
261.7792291025,degrees,7.27164525284585
236.0704367199,degrees,6.55751213110752
241.6956083865,degrees,6.71376689962462
263.7348551897,degrees,7.32596819971313
262.9108554338,degrees,7.30307931760613
232.7524643696,degrees,6.46534623249001
243.0249946593,degrees,6.75069429609058
234.9168370617,degrees,6.52546769615772
221.304361095,degrees,6.14734336375011
228.9291055025,degrees,6.35914181951354
234.3565172277,degrees,6.50990325632496
249.2434461501,degrees,6.92342905972472
252.04504532,degrees,7.00125125888852
237.8612628559,degrees,6.60725730155339
230.0717184973,degrees,6.39088106936857
228.7862788781,degrees,6.35517441328166
233.3896908475,degrees,6.48304696798608
228.7752922147,degrees,6.3548692281869
235.1145970031,degrees,6.5309610278634
247.024140141,degrees,6.86178167058321
235.1036103397,degrees,6.53065584276864
226.6109195227,degrees,6.29474776451918
225.7209997864,degrees,6.27002777184362
223.0622272408,degrees,6.19617297891171
234.4773705252,degrees,6.51326029236732
218.4148686178,degrees,6.06707968382824
233.9829706717,degrees,6.49952696310312
205.2088991974,degrees,5.70024719992676
224.2707602161,degrees,6.22974333933531
216.5141758477,degrees,6.01428266243477
219.4586016419,degrees,6.09607226783044
221.304361095,degrees,6.14734336375011
218.0632953887,degrees,6.05731376079592
220.6561479537,degrees,6.12933744315928
219.2608417005,degrees,6.09057893612476
218.4478286081,degrees,6.06799523911252
215.2836695456,degrees,5.98010193182165
211.8778038881,degrees,5.88549455244606
194.035462508,degrees,5.38987395855586
196.4525284585,degrees,5.45701467940306
194.5628223518,degrees,5.40452284310434
203.0555131687,degrees,5.6404309213538
186.1360515152,degrees,5.17044587542344
190.190130314,degrees,5.28305917538987
196.4415417951,degrees,5.4567094943083
214.305856502,degrees,5.95294045838801
212.0865504929,degrees,5.8912930692465
210.3946043275,degrees,5.84429456465346
211.1526841029,degrees,5.8653523361919
203.2862331004,degrees,5.64683980834376
195.1121555223,degrees,5.41978209784234
194.035462508,degrees,5.38987395855586
200.5945005646,degrees,5.57206946012757
215.3386028626,degrees,5.98162785729545
199.056367687,degrees,5.52934354686117
239.7509689627,degrees,6.65974913785211
221.9525742363,degrees,6.16534928434095
194.2991424299,degrees,5.3971984008301
178.8299203467,degrees,4.96749778740806
192.3654896695,degrees,5.34348582415235
197.7379680776,degrees,5.49272133548997
194.837488937,degrees,5.41215247047334
192.4204229865,degrees,5.34501174962615
189.6407971435,degrees,5.26779992065188
192.9587694937,degrees,5.35996581926939
195.9251686148,degrees,5.44236579485458
209.5376445814,degrees,5.82049012726219
211.6251106296,degrees,5.87847529526658
202.0667134617,degrees,5.6129642628254
220.8209479049,degrees,6.13391521958068
239.1027558214,degrees,6.64174321726127
247.7602465896,degrees,6.88222907193213
264.7456282235,degrees,7.35404522843104
262.8998687704,degrees,7.30277413251137
246.2990203558,degrees,6.84163945432905
260.3729361858,degrees,7.23258156071658
253.5831781976,degrees,7.04397717215491
233.9939573351,degrees,6.49983214819788
227.687612537,degrees,6.32465590380566
229.5883053072,degrees,6.37745292519913
245.6068605609,degrees,6.82241279335917
223.2160405286,degrees,6.20044557023835
204.0333262123,degrees,5.66759239478744
232.8733176672,degrees,6.46870326853236
232.33497116,degrees,6.45374919888913
241.0473952452,degrees,6.69576097903378
217.7007354961,degrees,6.04724265266884
226.1494796594,degrees,6.28192999053926
230.4232917264,degrees,6.40064699240089
224.9958800012,degrees,6.24988555558947
232.1591845454,degrees,6.44886623737297
241.1352885525,degrees,6.69820245979186
243.9478743858,degrees,6.77632984405042
211.0428174688,degrees,5.8623004852443
231.4450514237,degrees,6.42902920621357
213.5038300729,degrees,5.93066194647053
198.2433545946,degrees,5.50675984984893
172.4686422315,degrees,4.79079561754204
177.6982940153,degrees,4.93606372264779
170.6009094516,degrees,4.73891415143284
162.2510452589,degrees,4.50697347941527
204.9891659291,degrees,5.69414349803156
234.817957091,degrees,6.52272103030488
212.8995635853,degrees,5.91387676625874
211.8778038881,degrees,5.88549455244606
205.4725791192,degrees,5.707571642201
206.3954588458,degrees,5.73320719016083
241.9153416547,degrees,6.71987060151982
220.9747611927,degrees,6.13818781090732
252.2757652516,degrees,7.00766014587848
197.0018616291,degrees,5.47227393414106
191.5854365673,degrees,5.32181768242439
190.7614368114,degrees,5.29892880031739
198.7817011017,degrees,5.52171391949217
192.6841029084,degrees,5.35233619190039
195.2439954833,degrees,5.42344431897946
186.0261848811,degrees,5.16739402447585
178.2586138493,degrees,4.95162816248054
170.051576281,degrees,4.72365489669485
173.9848017823,degrees,4.83291116061892
185.3999450667,degrees,5.14999847407453
184.9604785302,degrees,5.13779107028413
172.3038422803,degrees,4.78621784112064
175.4020813623,degrees,4.87228003784295
178.2586138493,degrees,4.95162816248054
180.8514664144,degrees,5.0236518448439
174.2484817042,degrees,4.84023560289315
180.5438398389,degrees,5.01510666219062
181.7084261605,degrees,5.04745628223518
180.5548265023,degrees,5.01541184728538
179.6758934294,degrees,4.99099703970458
185.114291818,degrees,5.14206366161077
182.2687459944,degrees,5.06302072206793
183.4113589892,degrees,5.09475997192297
180.3900265511,degrees,5.01083407086398
177.1160008545,degrees,4.91988891262551
187.6631977294,degrees,5.21286660359508
181.9940794092,degrees,5.05539109469894
184.8396252327,degrees,5.13443403424177
184.8396252327,degrees,5.13443403424177
179.6978667562,degrees,4.9916074098941
183.99365215,degrees,5.11093478194525
185.114291818,degrees,5.14206366161077
191.5854365673,degrees,5.32181768242439
187.1138645589,degrees,5.19760734885708
182.3236793115,degrees,5.06454664754173
180.8514664144,degrees,5.0236518448439
179.6868800928,degrees,4.99130222479934
186.5535447249,degrees,5.18204290902432
181.7084261605,degrees,5.04745628223518
178.5552537614,degrees,4.95986816003906
185.4219183935,degrees,5.15060884426405
183.99365215,degrees,5.11093478194525
201.35258034,degrees,5.59312723166601
200.5835139012,degrees,5.57176427503281
192.1237830744,degrees,5.33677175206763
191.310769982,degrees,5.31418805505539
185.9712515641,degrees,5.16586809900205
178.8738670003,degrees,4.9687185277871
177.7202673421,degrees,4.93667409283731
159.9218726157,degrees,4.44227423932615
141.5851313822,degrees,3.93292031617176
179.9945066683,degrees,4.99984740745262
197.2325815607,degrees,5.47868282113102
198.6498611408,degrees,5.51805169835505
192.6841029084,degrees,5.35233619190039
181.1371196631,degrees,5.03158665730766
184.2573320719,degrees,5.11825922421949
194.2991424299,degrees,5.3971984008301
181.9940794092,degrees,5.05539109469894
187.1028778954,degrees,5.19730216376232
178.2476271859,degrees,4.95132297738579
150.7699819941,degrees,4.18805505539109
