"","name","date","mean","sitename","greenhouse","city","cultivar_id","site_id"
"105","height",2016-08-08 19:00:00,30.844,"MAC Field Scanner Field Plot 600 Season 2",FALSE,"Maricopa",6000000283,6000003196
"106","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 614 Season 2",FALSE,"Maricopa",6000000289,6000003210
"107","height",2016-08-08 19:00:00,30.844,"MAC Field Scanner Field Plot 615 Season 2",FALSE,"Maricopa",6000000289,6000003211
"108","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 637 Season 2",FALSE,"Maricopa",6000000291,6000003233
"109","height",2016-08-08 19:00:00,32.166,"MAC Field Scanner Field Plot 636 Season 2",FALSE,"Maricopa",6000000291,6000003232
"110","height",2016-08-08 19:00:00,30.844,"MAC Field Scanner Field Plot 627 Season 2",FALSE,"Maricopa",6000000300,6000003223
"111","height",2016-08-08 19:00:00,32.166,"MAC Field Scanner Field Plot 626 Season 2",FALSE,"Maricopa",6000000300,6000003222
"112","height",2016-08-08 19:00:00,32.166,"MAC Field Scanner Field Plot 605 Season 2",FALSE,"Maricopa",6000000316,6000003201
"113","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 604 Season 2",FALSE,"Maricopa",6000000316,6000003200
"114","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 585 Season 2",FALSE,"Maricopa",6000000318,6000003181
"115","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 629 Season 2",FALSE,"Maricopa",6000000319,6000003225
"116","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 628 Season 2",FALSE,"Maricopa",6000000319,6000003224
"117","height",2016-08-08 19:00:00,30.844,"MAC Field Scanner Field Plot 608 Season 2",FALSE,"Maricopa",NA,6000003204
"118","height",2016-08-08 19:00:00,30.844,"MAC Field Scanner Field Plot 609 Season 2",FALSE,"Maricopa",NA,6000003205
"119","height",2016-08-08 19:00:00,30.844,"MAC Field Scanner Field Plot 640 Season 2",FALSE,"Maricopa",NA,6000003236
"120","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 595 Season 2",FALSE,"Maricopa",6000000331,6000003191
"121","height",2016-08-08 19:00:00,32.166,"MAC Field Scanner Field Plot 594 Season 2",FALSE,"Maricopa",6000000331,6000003190
"122","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 607 Season 2",FALSE,"Maricopa",6000000377,6000003203
"123","height",2016-08-08 19:00:00,30.844,"MAC Field Scanner Field Plot 606 Season 2",FALSE,"Maricopa",6000000377,6000003202
"124","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 631 Season 2",FALSE,"Maricopa",6000000381,6000003227
"125","height",2016-08-08 19:00:00,32.166,"MAC Field Scanner Field Plot 630 Season 2",FALSE,"Maricopa",6000000381,6000003226
"126","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 633 Season 2",FALSE,"Maricopa",6000000388,6000003229
"127","height",2016-08-08 19:00:00,32.166,"MAC Field Scanner Field Plot 632 Season 2",FALSE,"Maricopa",6000000388,6000003228
"128","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 597 Season 2",FALSE,"Maricopa",6000000396,6000003193
"129","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 596 Season 2",FALSE,"Maricopa",6000000396,6000003192
"130","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 620 Season 2",FALSE,"Maricopa",6000000400,6000003216
"131","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 621 Season 2",FALSE,"Maricopa",6000000400,6000003217
"132","height",2016-08-08 19:00:00,32.166,"MAC Field Scanner Field Plot 635 Season 2",FALSE,"Maricopa",6000000258,6000003231
"133","height",2016-08-08 19:00:00,30.844,"MAC Field Scanner Field Plot 634 Season 2",FALSE,"Maricopa",6000000258,6000003230
"134","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 622 Season 2",FALSE,"Maricopa",6000000409,6000003218
"135","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 623 Season 2",FALSE,"Maricopa",6000000409,6000003219
"136","height",2016-08-08 19:00:00,32.166,"MAC Field Scanner Field Plot 618 Season 2",FALSE,"Maricopa",6000000265,6000003214
"137","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 641 Season 2",FALSE,"Maricopa",NA,6000003237
"138","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 654 Season 2",FALSE,"Maricopa",6000000282,6000003250
"139","height",2016-08-08 19:00:00,32.827,"MAC Field Scanner Field Plot 655 Season 2",FALSE,"Maricopa",6000000282,6000003251
"140","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 642 Season 2",FALSE,"Maricopa",6000000285,6000003238
"141","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 643 Season 2",FALSE,"Maricopa",6000000285,6000003239
"142","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 678 Season 2",FALSE,"Maricopa",6000000305,6000003274
"143","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 679 Season 2",FALSE,"Maricopa",6000000305,6000003275
"144","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 682 Season 2",FALSE,"Maricopa",6000000308,6000003278
"145","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 683 Season 2",FALSE,"Maricopa",6000000308,6000003279
"146","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 674 Season 2",FALSE,"Maricopa",6000000311,6000003270
"147","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 675 Season 2",FALSE,"Maricopa",6000000311,6000003271
"148","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 686 Season 2",FALSE,"Maricopa",6000000313,6000003282
"149","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 687 Season 2",FALSE,"Maricopa",6000000313,6000003283
"150","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 695 Season 2",FALSE,"Maricopa",6000000314,6000003291
"151","height",2016-08-08 19:00:00,32.166,"MAC Field Scanner Field Plot 694 Season 2",FALSE,"Maricopa",6000000314,6000003290
"152","height",2016-08-08 19:00:00,30.844,"MAC Field Scanner Field Plot 672 Season 2",FALSE,"Maricopa",NA,6000003268
"153","height",2016-08-08 19:00:00,30.844,"MAC Field Scanner Field Plot 673 Season 2",FALSE,"Maricopa",NA,6000003269
"154","height",2016-08-08 19:00:00,32.166,"MAC Field Scanner Field Plot 665 Season 2",FALSE,"Maricopa",6000000378,6000003261
"155","height",2016-08-08 19:00:00,32.166,"MAC Field Scanner Field Plot 664 Season 2",FALSE,"Maricopa",6000000378,6000003260
"156","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 667 Season 2",FALSE,"Maricopa",6000000380,6000003263
"157","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 666 Season 2",FALSE,"Maricopa",6000000380,6000003262
"158","height",2016-08-08 19:00:00,32.166,"MAC Field Scanner Field Plot 693 Season 2",FALSE,"Maricopa",6000000382,6000003289
"159","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 692 Season 2",FALSE,"Maricopa",6000000382,6000003288
"160","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 644 Season 2",FALSE,"Maricopa",6000000390,6000003240
"161","height",2016-08-08 19:00:00,32.166,"MAC Field Scanner Field Plot 645 Season 2",FALSE,"Maricopa",6000000390,6000003241
"162","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 659 Season 2",FALSE,"Maricopa",6000000250,6000003255
"163","height",2016-08-08 19:00:00,32.827,"MAC Field Scanner Field Plot 658 Season 2",FALSE,"Maricopa",6000000250,6000003254
"164","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 661 Season 2",FALSE,"Maricopa",6000000252,6000003257
"165","height",2016-08-08 19:00:00,32.166,"MAC Field Scanner Field Plot 660 Season 2",FALSE,"Maricopa",6000000252,6000003256
"166","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 663 Season 2",FALSE,"Maricopa",6000000263,6000003259
"167","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 662 Season 2",FALSE,"Maricopa",6000000263,6000003258
"168","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 652 Season 2",FALSE,"Maricopa",6000000264,6000003248
"169","height",2016-08-08 19:00:00,32.166,"MAC Field Scanner Field Plot 653 Season 2",FALSE,"Maricopa",6000000264,6000003249
"170","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 702 Season 2",FALSE,"Maricopa",6000000278,6000003298
"171","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 712 Season 2",FALSE,"Maricopa",6000000293,6000003308
"172","height",2016-08-08 19:00:00,32.166,"MAC Field Scanner Field Plot 713 Season 2",FALSE,"Maricopa",6000000293,6000003309
"173","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 742 Season 2",FALSE,"Maricopa",6000000295,6000003338
"174","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 743 Season 2",FALSE,"Maricopa",6000000295,6000003339
"175","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 710 Season 2",FALSE,"Maricopa",6000000298,6000003306
"176","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 704 Season 2",FALSE,"Maricopa",NA,6000003300
"177","height",2016-08-08 19:00:00,30.844,"MAC Field Scanner Field Plot 705 Season 2",FALSE,"Maricopa",NA,6000003301
